"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0518";"'s-Gravenhage";"2272";"Leidschendam-Voorburg";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2273";"Leidschendam-Voorburg";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2291";"Westland";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2511";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2515";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2516";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2517";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2524";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2526";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2531";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2541";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0518";"'s-Gravenhage";"2542";"'s-Gravenhage";"00WO";"00";"SBO";"2566EA";"'S-GRAVENHAGE";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"95694";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
