"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0796";"'s-Hertogenbosch";"4064";"West Betuwe";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"4191";"West Betuwe";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"4261";"Altena";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"4264";"Altena";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"5076";"Oisterwijk";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"5141";"Waalwijk";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"5142";"Waalwijk";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"5144";"Waalwijk";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"5144";"Waalwijk";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0796";"'s-Hertogenbosch";"5151";"Heusden";"01PD";"00";"Hub Nrd-Brabant vest. Rosmalen";"5244PE";"ROSMALEN";"Noord-Brabant";"So";"Algemeen bijzonder";"82292";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
