"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0358";"Aalsmeer";"1066";"Amsterdam";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1422";"Uithoorn";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1424";"Uithoorn";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1431";"Aalsmeer";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"40";"46";"48";"53";"46";"47";"44";"32";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1432";"Aalsmeer";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"7";"<5";"6";"<5";"<5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1433";"Aalsmeer";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1435";"Haarlemmermeer";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"1436";"Haarlemmermeer";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"2134";"Haarlemmermeer";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0358";"Aalsmeer";"2441";"Nieuwkoop";"03KF";"00";"Jozefschool RK Basisond";"1431SG";"AALSMEER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28849";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
