"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0482";"Alblasserdam";"2951";"Alblasserdam";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"35";"28";"30";"52";"36";"27";"34";"45";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"2952";"Alblasserdam";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"<5";"5";"5";"7";"<5";"<5";"<5";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"2953";"Alblasserdam";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"15";"11";"15";"15";"17";"16";"11";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"2954";"Alblasserdam";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"6";"<5";"7";"5";"5";"5";"8";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"2969";"Molenlanden";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"<5";"<5";"5";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"3341";"Hendrik-Ido-Ambacht";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"3342";"Hendrik-Ido-Ambacht";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"3344";"Hendrik-Ido-Ambacht";"03LQ";"00";"Ds Joannes Beukelmansch";"2951PL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Reformatorisch";"31077";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"2286";"Rijswijk";"04KC";"00";"Chr. KC De Schalm";"2951GL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Protestants-Christelijk";"80433";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0482";"Alblasserdam";"2951";"Alblasserdam";"04KC";"00";"Chr. KC De Schalm";"2951GL";"ALBLASSERDAM";"Zuid-Holland";"Bo";"Protestants-Christelijk";"80433";"0";"15";"22";"20";"12";"18";"20";"25";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
