"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0613";"Albrandswaard";"3161";"Albrandswaard";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3171";"Albrandswaard";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"15";"23";"28";"22";"16";"15";"23";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3172";"Albrandswaard";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3176";"Albrandswaard";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"<5";"7";"5";"<5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3191";"Rotterdam";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3192";"Rotterdam";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3193";"Rotterdam";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3194";"Rotterdam";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3203";"Nissewaard";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3207";"Nissewaard";"04QM";"00";"CBS De Parel";"3171PN";"POORTUGAAL";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3016";"Rotterdam";"09NH";"00";"PC Basisschool Juliana";"3161AK";"RHOON";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3023";"Rotterdam";"09NH";"00";"PC Basisschool Juliana";"3161AK";"RHOON";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3024";"Rotterdam";"09NH";"00";"PC Basisschool Juliana";"3161AK";"RHOON";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3065";"Rotterdam";"09NH";"00";"PC Basisschool Juliana";"3161AK";"RHOON";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0613";"Albrandswaard";"3083";"Rotterdam";"09NH";"00";"PC Basisschool Juliana";"3161AK";"RHOON";"Zuid-Holland";"Bo";"Protestants-Christelijk";"59555";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
