"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0361";"Alkmaar";"1483";"Alkmaar";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1483";"Alkmaar";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1486";"Alkmaar";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1487";"Alkmaar";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1636";"Alkmaar";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1648";"Koggenland";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1689";"Hoorn";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1701";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1701";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1702";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1702";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1703";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1703";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1704";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1704";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1705";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1705";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0361";"Alkmaar";"1706";"Dijk en Waard";"01WX";"00";"De Alk";"1813KE";"ALKMAAR";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
