"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0484";"Alphen aan den Rijn";"2391";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2401";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2402";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2403";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2404";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2405";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2406";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2407";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2408";"Alphen aan den Rijn";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0484";"Alphen aan den Rijn";"2421";"Nieuwkoop";"00GQ";"00";"Rehoboth Basisschool";"2404GM";"ALPHEN AAN DEN RIJN";"Zuid-Holland";"Bo";"Reformatorisch";"20183";"0";"<5";"<5";"<5";"<5";"9";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
