"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1723";"Alphen-Chaam";"4856";"Alphen-Chaam";"03NN";"00";"RK BS De Driesprong";"4861BB";"CHAAM";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32060";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"4861";"Alphen-Chaam";"03NN";"00";"RK BS De Driesprong";"4861BB";"CHAAM";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32060";"0";"34";"39";"31";"28";"36";"17";"28";"25";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"5111";"Baarle-Nassau";"03NN";"00";"RK BS De Driesprong";"4861BB";"CHAAM";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32060";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"5113";"Baarle-Nassau";"03NN";"00";"RK BS De Driesprong";"4861BB";"CHAAM";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32060";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"5131";"Alphen-Chaam";"03NN";"00";"RK BS De Driesprong";"4861BB";"CHAAM";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32060";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"40";"Onbekend";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"4613";"Bergen op Zoom";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"4835";"Breda";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"4855";"Alphen-Chaam";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"4861";"Alphen-Chaam";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"5";"8";"6";"9";"<5";"11";"8";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"5111";"Baarle-Nassau";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"5113";"Baarle-Nassau";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1723";"Alphen-Chaam";"5131";"Alphen-Chaam";"04LK";"00";"Het Beekdal";"4861TB";"CHAAM";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
