"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1959";"Altena";"4254";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4255";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4268";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4269";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4271";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4283";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"<5";"<5";"0";"5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4284";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4285";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4286";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"<5";"<5";"<5";"11";"6";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1959";"Altena";"4287";"Altena";"00FE";"00";"De Halm";"4286BV";"ALMKERK";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
