"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0362";"Amstelveen";"1066";"Amsterdam";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1069";"Amsterdam";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1082";"Amsterdam";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1083";"Amsterdam";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1103";"Amsterdam";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1115";"Ouder-Amstel";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1181";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"<5";"<5";"<5";"5";"<5";"7";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1182";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1183";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"<5";"<5";"7";"5";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1185";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"<5";"6";"<5";"<5";"<5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1186";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"<5";"0";"<5";"5";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1187";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"<5";"<5";"<5";"<5";"9";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1188";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1189";"Amstelveen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1191";"Ouder-Amstel";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1391";"De Ronde Venen";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1421";"Uithoorn";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1422";"Uithoorn";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1423";"Uithoorn";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1431";"Aalsmeer";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1432";"Aalsmeer";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0362";"Amstelveen";"1433";"Aalsmeer";"03HT";"00";"de Bloeiwijzer";"1183JM";"AMSTELVEEN";"Noord-Holland";"Sbo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
