"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0363";"Amsterdam";"1061";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1073";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1081";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1095";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1097";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1101";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1102";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1103";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1104";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"<5";"<5";"<5";"<5";"<5";"8";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1106";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"<5";"<5";"<5";"<5";"6";"6";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1107";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1108";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1109";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1111";"Diemen";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1333";"Almere";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1362";"Almere";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1363";"Almere";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1382";"Amsterdam";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1391";"De Ronde Venen";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"40";"Onbekend";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"4854";"Breda";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"5391";"'s-Hertogenbosch";"01VF";"00";"SBO Professor Dumont";"1107NG";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"77690";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0363";"Amsterdam";"1013";"Amsterdam";"04FC";"00";"SBO Tobiasschool";"1059VX";"AMSTERDAM";"Noord-Holland";"Sbo";"Algemeen bijzonder";"84463";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
