"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0200";"Apeldoorn";"3888";"Apeldoorn";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"6952";"Rheden";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"6961";"Brummen";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"6982";"Doesburg";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"7203";"Zutphen";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"7311";"Apeldoorn";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"7312";"Apeldoorn";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"7316";"Apeldoorn";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"7322";"Apeldoorn";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0200";"Apeldoorn";"7323";"Apeldoorn";"00AO";"01";"De Bolster VSO/ZMOK Apeldoorn";"7322CZ";"APELDOORN";"Gelderland";"Vso";"Protestants-Christelijk";"40631";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
