"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0106";"Assen";"8426";"Ooststellingwerf";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"8501";"De Fryske Marren";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9248";"Opsterland";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9331";"Noordenveld";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9401";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9402";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9403";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"7";"6";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9404";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"5";"8";"<5";"<5";"9";"7";"<5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9405";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9406";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9407";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9408";"Assen";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9411";"Midden-Drenthe";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9412";"Midden-Drenthe";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9414";"Midden-Drenthe";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9421";"Midden-Drenthe";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9444";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9446";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9449";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9451";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9461";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9463";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0106";"Assen";"9466";"Aa en Hunze";"00DX";"00";"Vrije School Assen";"9404KK";"ASSEN";"Drenthe";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
