"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0743";"Asten";"5721";"Asten";"06VX";"00";"Antonius School";"5725AZ";"HEUSDEN GEM ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5725";"Asten";"06VX";"00";"Antonius School";"5725AZ";"HEUSDEN GEM ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"29";"21";"24";"15";"25";"23";"22";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5973";"Horst aan de Maas";"06VX";"00";"Antonius School";"5725AZ";"HEUSDEN GEM ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5704";"Helmond";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5711";"Someren";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5712";"Someren";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5715";"Someren";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5721";"Asten";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"29";"24";"26";"28";"23";"27";"19";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5722";"Asten";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5724";"Asten";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5725";"Asten";"07FL";"00";"De Horizon";"5721VM";"ASTEN";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5281";"Boxtel";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5571";"Bergeijk";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5705";"Helmond";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5711";"Someren";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5712";"Someren";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5721";"Asten";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"28";"23";"25";"20";"23";"23";"23";"23";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5722";"Asten";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5724";"Asten";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5761";"Gemert-Bakel";"09KU";"00";"Kindcentrum De Ontdekking";"5721KD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5707";"Helmond";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5711";"Someren";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5712";"Someren";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5721";"Asten";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"43";"45";"42";"28";"37";"34";"33";"29";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5722";"Asten";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5724";"Asten";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5725";"Asten";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5757";"Deurne";"10FW";"00";"RK Basissch Voordeldonk";"5721JD";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5712";"Someren";"11KR";"00";"BS het Talent";"5721EE";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5721";"Asten";"11KR";"00";"BS het Talent";"5721EE";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"21";"25";"27";"27";"25";"19";"33";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5722";"Asten";"11KR";"00";"BS het Talent";"5721EE";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"5724";"Asten";"11KR";"00";"BS het Talent";"5721EE";"ASTEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0743";"Asten";"40";"Onbekend";"24DV";"00";"OBS Kleurrijk";"5724AC";"OMMEL";"Noord-Brabant";"Bo";"Openbaar";"41860";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
