"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0744";"Baarle-Nassau";"10";"Belgie";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"<5";"<5";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"2547";"'s-Gravenhage";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"30";"ander land";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"3364";"Sliedrecht";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"40";"Onbekend";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"<5";"<5";"6";"<5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"4816";"Breda";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"5111";"Baarle-Nassau";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"34";"38";"37";"39";"43";"41";"38";"32";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"5113";"Baarle-Nassau";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"5126";"Gilze en Rijen";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0744";"Baarle-Nassau";"5131";"Alphen-Chaam";"06HO";"00";"Basisschool de Uilenpoort";"5111XP";"BAARLE-NASSAU";"Noord-Brabant";"Bo";"Samenwerking Opb., RK";"32060";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
