"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0308";"Baarn";"3732";"De Bilt";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"13";"14";"13";"16";"15";"17";"15";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"17";"22";"24";"18";"15";"15";"16";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"25";"18";"26";"19";"28";"22";"24";"29";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3744";"Baarn";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3749";"Baarn";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3755";"Eemnes";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3761";"Soest";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3769";"Soest";"04QC";"00";"Ver. Nieuwe Baarnsche School";"3743HZ";"BAARN";"Utrecht";"Bo";"Algemeen bijzonder";"37545";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"18";"15";"9";"16";"18";"7";"20";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"18";"5";"10";"14";"6";"8";"13";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"10";"9";"12";"10";"5";"10";"6";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3744";"Baarn";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3749";"Baarn";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3752";"Bunschoten";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3755";"Eemnes";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3762";"Soest";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3811";"Amersfoort";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3817";"Amersfoort";"06GW";"00";"Amalia Astroschool";"3743EE";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"17";"16";"13";"15";"13";"9";"7";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"10";"12";"8";"8";"<5";"8";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"9";"5";"<5";"<5";"6";"<5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3744";"Baarn";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3761";"Soest";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3762";"Soest";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3828";"Amersfoort";"07WX";"00";"Basissch Kon. Wilhelmina";"3741AT";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"08EM";"00";"De Uitkijck";"3742RC";"BAARN";"Utrecht";"Bo";"Openbaar";"41481";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"08EM";"00";"De Uitkijck";"3742RC";"BAARN";"Utrecht";"Bo";"Openbaar";"41481";"0";"10";"7";"5";"13";"6";"7";"15";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"08EM";"00";"De Uitkijck";"3742RC";"BAARN";"Utrecht";"Bo";"Openbaar";"41481";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"1411";"Gooise Meren";"08KO";"00";"Basissch Guido De Bres";"3742TG";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"08KO";"00";"Basissch Guido De Bres";"3742TG";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"<5";"5";"0";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"08KO";"00";"Basissch Guido De Bres";"3742TG";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"20";"29";"30";"20";"22";"18";"20";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"08KO";"00";"Basissch Guido De Bres";"3742TG";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3764";"Soest";"08KO";"00";"Basissch Guido De Bres";"3742TG";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"09BJ";"00";"Gaspard de Coligny";"3741CS";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"15";"26";"27";"12";"24";"19";"24";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"09BJ";"00";"Gaspard de Coligny";"3741CS";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"09BJ";"00";"Gaspard de Coligny";"3741CS";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3769";"Soest";"09BJ";"00";"Gaspard de Coligny";"3741CS";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3815";"Amersfoort";"09BJ";"00";"Gaspard de Coligny";"3741CS";"BAARN";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3741";"Baarn";"17WX";"00";"Basissch Montini";"3741CS";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"8";"9";"21";"12";"18";"17";"12";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3742";"Baarn";"17WX";"00";"Basissch Montini";"3741CS";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"7";"16";"7";"8";"12";"6";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3743";"Baarn";"17WX";"00";"Basissch Montini";"3741CS";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"<5";"<5";"<5";"9";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3744";"Baarn";"17WX";"00";"Basissch Montini";"3741CS";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3754";"Bunschoten";"17WX";"00";"Basissch Montini";"3741CS";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"3761";"Soest";"17WX";"00";"Basissch Montini";"3741CS";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0308";"Baarn";"1271";"Huizen";"17XV";"00";"Basissch St Aloysius";"3741AK";"BAARN";"Utrecht";"Bo";"Rooms-Katholiek";"69447";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
