"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0203";"Barneveld";"3771";"Barneveld";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"5";"5";"<5";"7";"6";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3772";"Barneveld";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"7";"19";"8";"19";"6";"10";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3773";"Barneveld";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3781";"Barneveld";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3794";"Barneveld";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3925";"Scherpenzeel";"01VE";"00";"GBS De Bron";"3771CS";"BARNEVELD";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3771";"Barneveld";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3772";"Barneveld";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"0";"<5";"6";"0";"5";"16";"5";"13";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3773";"Barneveld";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3774";"Barneveld";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3776";"Barneveld";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0203";"Barneveld";"3781";"Barneveld";"02AJ";"00";"Chr SSBO De Vogelhorst";"3772TX";"BARNEVELD";"Gelderland";"Sbo";"Protestants-Christelijk";"25897";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
