"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0888";"Beek";"6155";"Beekdaelen";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6162";"Sittard-Geleen";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6165";"Sittard-Geleen";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6171";"Stein";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6176";"Beek";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6181";"Stein";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6191";"Beek";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"14";"11";"10";"9";"12";"16";"14";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6333";"Beekdaelen";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6361";"Beekdaelen";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0888";"Beek";"6363";"Beekdaelen";"03BR";"00";"Basisschool De Kring";"6191PD";"BEEK LB";"Limburg";"Bo";"Openbaar";"83280";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
