"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1954";"Beekdaelen";"20";"Duitsland";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"<5";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"40";"Onbekend";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6132";"Sittard-Geleen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6137";"Sittard-Geleen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6191";"Beek";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6361";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6365";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6431";"Heerlen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6433";"Heerlen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6436";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6438";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6439";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"5";"8";"5";"6";"10";"<5";"5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6441";"Brunssum";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6442";"Brunssum";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6444";"Brunssum";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6446";"Brunssum";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6447";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"14";"13";"7";"12";"13";"16";"16";"8";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6451";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6454";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6456";"Beekdaelen";"03SV";"00";"Basisschool de Woanderboom";"6447BE";"MERKELBEEK";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"7";"10";"8";"10";"8";"6";"8";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"40";"Onbekend";"06KH";"00";"BS De Bolster";"6361XG";"NUTH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1954";"Beekdaelen";"6107";"Maasgouw";"06KH";"00";"BS De Bolster";"6361XG";"NUTH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
