"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0889";"Beesel";"5914";"Venlo";"03SO";"00";"RK Basisschool Het Spick";"5954BC";"BEESEL";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5935";"Venlo";"03SO";"00";"RK Basisschool Het Spick";"5954BC";"BEESEL";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5953";"Beesel";"03SO";"00";"RK Basisschool Het Spick";"5954BC";"BEESEL";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5954";"Beesel";"03SO";"00";"RK Basisschool Het Spick";"5954BC";"BEESEL";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"18";"19";"14";"20";"13";"20";"8";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5986";"Peel en Maas";"03SO";"00";"RK Basisschool Het Spick";"5954BC";"BEESEL";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"6071";"Roermond";"03SO";"00";"RK Basisschool Het Spick";"5954BC";"BEESEL";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5913";"Venlo";"12PV";"00";"Basisschool Bosdael";"5953DM";"REUVER";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5951";"Venlo";"12PV";"00";"Basisschool Bosdael";"5953DM";"REUVER";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5953";"Beesel";"12PV";"00";"Basisschool Bosdael";"5953DM";"REUVER";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"32";"41";"42";"29";"36";"45";"32";"41";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0889";"Beesel";"5954";"Beesel";"12PV";"00";"Basisschool Bosdael";"5953DM";"REUVER";"Limburg";"Bo";"Rooms-Katholiek";"75597";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
