"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1724";"Bergeijk";"40";"Onbekend";"04FV";"00";"BS Fonkeltuin";"5571XJ";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5521";"Eersel";"04FV";"00";"BS Fonkeltuin";"5571XJ";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5551";"Valkenswaard";"04FV";"00";"BS Fonkeltuin";"5571XJ";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5571";"Bergeijk";"04FV";"00";"BS Fonkeltuin";"5571XJ";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"6";"5";"<5";"5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5575";"Bergeijk";"04FV";"00";"BS Fonkeltuin";"5571XJ";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5406";"Maashorst";"05DD";"00";"Basissch St Willibrordus";"5561AH";"RIETHOVEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5504";"Veldhoven";"05DD";"00";"Basissch St Willibrordus";"5561AH";"RIETHOVEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"5561";"Bergeijk";"05DD";"00";"Basissch St Willibrordus";"5561AH";"RIETHOVEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"15";"16";"14";"15";"10";"18";"17";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"3328";"Dordrecht";"06HG";"00";"Basisschool Beisterveld";"5571RK";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1724";"Bergeijk";"40";"Onbekend";"06HG";"00";"Basisschool Beisterveld";"5571RK";"BERGEIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
