"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0893";"Bergen (L.)";"40";"Onbekend";"03IZ";"00";"Basisschool St Vitus";"5855AD";"WELL LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5854";"Bergen (L.)";"03IZ";"00";"Basisschool St Vitus";"5855AD";"WELL LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5855";"Bergen (L.)";"03IZ";"00";"Basisschool St Vitus";"5855AD";"WELL LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"16";"22";"10";"12";"21";"18";"20";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"10";"Belgie";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5851";"Bergen (L.)";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"7";"12";"14";"11";"15";"15";"11";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5853";"Bergen (L.)";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5854";"Bergen (L.)";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5864";"Horst aan de Maas";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"6591";"Gennep";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"9625";"Midden-Groningen";"03YC";"00";"RK Basissch 't Diekske";"5851BE";"AFFERDEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5853";"Bergen (L.)";"05FX";"00";"De Fontein";"5854ES";"BERGEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5854";"Bergen (L.)";"05FX";"00";"De Fontein";"5854ES";"BERGEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"13";"28";"23";"27";"21";"26";"26";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5855";"Bergen (L.)";"05FX";"00";"De Fontein";"5854ES";"BERGEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5856";"Bergen (L.)";"05FX";"00";"De Fontein";"5854ES";"BERGEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"6591";"Gennep";"05FX";"00";"De Fontein";"5854ES";"BERGEN LB";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"20";"Duitsland";"06ZR";"00";"Basisschool St Catharina";"5856AS";"WELLERLOOI";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5855";"Bergen (L.)";"06ZR";"00";"Basisschool St Catharina";"5856AS";"WELLERLOOI";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"5856";"Bergen (L.)";"06ZR";"00";"Basisschool St Catharina";"5856AS";"WELLERLOOI";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"10";"6";"11";"12";"8";"13";"10";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"20";"Duitsland";"08RA";"00";"Basisschool 't Kendelke";"5853EL";"SIEBENGEWALD";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0893";"Bergen (L.)";"40";"Onbekend";"08RA";"00";"Basisschool 't Kendelke";"5853EL";"SIEBENGEWALD";"Limburg";"Bo";"Rooms-Katholiek";"37663";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
