"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0748";"Bergen op Zoom";"3245";"Goeree-Overflakkee";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4416";"Reimerswaal";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4611";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4613";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4614";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4615";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4616";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4617";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4621";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0748";"Bergen op Zoom";"4623";"Bergen op Zoom";"01JO";"08";"Auris Montaal";"4621CH";"BERGEN OP ZOOM";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
