"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1721";"Bernheze";"5258";"Sint-Michielsgestel";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5384";"Bernheze";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5388";"Bernheze";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5467";"Meierijstad";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5472";"Bernheze";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5473";"Bernheze";"00DM";"00";"De Bolderik";"5473PG";"HEESWIJK-DINTHER";"Noord-Brabant";"Bo";"Openbaar";"75388";"0";"23";"22";"13";"15";"10";"10";"16";"9";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5342";"Oss";"03HA";"00";"RK Basisschool Emmaus";"5384BV";"HEESCH";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41228";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5343";"Oss";"03HA";"00";"RK Basisschool Emmaus";"5384BV";"HEESCH";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41228";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5344";"Oss";"03HA";"00";"RK Basisschool Emmaus";"5384BV";"HEESCH";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41228";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5345";"Oss";"03HA";"00";"RK Basisschool Emmaus";"5384BV";"HEESCH";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41228";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5346";"Oss";"03HA";"00";"RK Basisschool Emmaus";"5384BV";"HEESCH";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41228";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1721";"Bernheze";"5348";"Oss";"03HA";"00";"RK Basisschool Emmaus";"5384BV";"HEESCH";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41228";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
