"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0753";"Best";"5141";"Waalwijk";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5627";"Eindhoven";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5681";"Best";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5682";"Best";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5683";"Best";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5684";"Best";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"32";"27";"30";"23";"16";"13";"13";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5685";"Best";"03JB";"00";"Kindcentrum Platijn";"5684KE";"BEST";"Noord-Brabant";"Bo";"Algemeen bijzonder";"26977";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5091";"Oirschot";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5283";"Boxtel";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5291";"Sint-Michielsgestel";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5292";"Sint-Michielsgestel";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5492";"Meierijstad";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5513";"Eersel";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0753";"Best";"5531";"Bladel";"03ZJ";"00";"Immanuel";"5684CH";"BEST";"Noord-Brabant";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
