"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0209";"Beuningen";"4254";"Altena";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6537";"Nijmegen";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6601";"Wijchen";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6602";"Wijchen";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6603";"Wijchen";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6641";"Beuningen";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6651";"Druten";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"6657";"West Maas en Waal";"02RO";"05";"Foooocus Beuningen";"6641CS";"BEUNINGEN GLD";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"5374";"Maashorst";"03VT";"00";"Basisschool De Ruyter";"6551CH";"WEURT";"Gelderland";"Bo";"Rooms-Katholiek";"41340";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0209";"Beuningen";"5761";"Gemert-Bakel";"03VT";"00";"Basisschool De Ruyter";"6551CH";"WEURT";"Gelderland";"Bo";"Rooms-Katholiek";"41340";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
