"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0375";"Beverwijk";"1566";"Zaanstad";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1901";"Castricum";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1902";"Castricum";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1906";"Castricum";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1911";"Uitgeest";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1941";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1942";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1943";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1944";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1945";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1946";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1947";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1948";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1949";"Beverwijk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1951";"Velsen";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1961";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1962";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1963";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1964";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1965";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1966";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1967";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1969";"Heemskerk";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1971";"Velsen";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"2033";"Haarlem";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"6825";"Arnhem";"00RL";"10";"Antoniusschool Beverwijk";"1945NC";"BEVERWIJK";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1562";"Zaanstad";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1911";"Uitgeest";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1941";"Beverwijk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1943";"Beverwijk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1944";"Beverwijk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1945";"Beverwijk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1946";"Beverwijk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1947";"Beverwijk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1951";"Velsen";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1962";"Heemskerk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1964";"Heemskerk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1965";"Heemskerk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1966";"Heemskerk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1967";"Heemskerk";"02EH";"00";"De Zeearend";"1945NC";"BEVERWIJK";"Noord-Holland";"Sbo";"Algemeen bijzonder";"41008";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1921";"Castricum";"03QL";"00";"Basisschool De Vryheit";"1949EG";"WIJK AAN ZEE";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1945";"Beverwijk";"03QL";"00";"Basisschool De Vryheit";"1949EG";"WIJK AAN ZEE";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1949";"Beverwijk";"03QL";"00";"Basisschool De Vryheit";"1949EG";"WIJK AAN ZEE";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"10";"9";"14";"13";"15";"14";"13";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1951";"Velsen";"03QL";"00";"Basisschool De Vryheit";"1949EG";"WIJK AAN ZEE";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1961";"Heemskerk";"03QL";"00";"Basisschool De Vryheit";"1949EG";"WIJK AAN ZEE";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1962";"Heemskerk";"03QL";"00";"Basisschool De Vryheit";"1949EG";"WIJK AAN ZEE";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1911";"Uitgeest";"06FF";"00";"Basissch De Sleutelbloem";"1947ZB";"BEVERWIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1941";"Beverwijk";"06FF";"00";"Basissch De Sleutelbloem";"1947ZB";"BEVERWIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"7";"5";"5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1943";"Beverwijk";"06FF";"00";"Basissch De Sleutelbloem";"1947ZB";"BEVERWIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1944";"Beverwijk";"06FF";"00";"Basissch De Sleutelbloem";"1947ZB";"BEVERWIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"7";"5";"<5";"6";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1945";"Beverwijk";"06FF";"00";"Basissch De Sleutelbloem";"1947ZB";"BEVERWIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0375";"Beverwijk";"1946";"Beverwijk";"06FF";"00";"Basissch De Sleutelbloem";"1947ZB";"BEVERWIJK";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"<5";"<5";"6";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
