"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1728";"Bladel";"10";"Belgie";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5081";"Hilvarenbeek";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5087";"Hilvarenbeek";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5091";"Oirschot";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5094";"Reusel-De Mierden";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5095";"Reusel-De Mierden";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5096";"Reusel-De Mierden";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5502";"Veldhoven";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5505";"Veldhoven";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1728";"Bladel";"5506";"Veldhoven";"00MI";"00";"SSBO De Piramide";"5531BX";"BLADEL";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
