"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0376";"Blaricum";"1033";"Amsterdam";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1131";"Edam-Volendam";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1216";"Hilversum";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1251";"Laren";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1261";"Blaricum";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"41";"41";"42";"42";"36";"28";"43";"27";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1262";"Blaricum";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"9";"18";"14";"14";"11";"17";"10";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1271";"Huizen";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1272";"Huizen";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1273";"Huizen";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0376";"Blaricum";"1274";"Huizen";"07EC";"00";"KBS De Pionier";"1261MX";"BLARICUM";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
