"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0377";"Bloemendaal";"1991";"Velsen";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2011";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2012";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2013";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"<5";"<5";"5";"5";"7";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2014";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2015";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"13";"5";"11";"7";"7";"8";"8";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2023";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2025";"Haarlem";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2042";"Zandvoort";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2051";"Bloemendaal";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"9";"<5";"9";"8";"5";"9";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0377";"Bloemendaal";"2061";"Bloemendaal";"03NJ";"00";"Aloysius";"2051BC";"OVERVEEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"40775";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
