"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1901";"Bodegraven-Reeuwijk";"2415";"Bodegraven-Reeuwijk";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2851";"Krimpenerwaard";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3421";"Oudewater";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3465";"Bodegraven-Reeuwijk";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"19";"24";"14";"19";"10";"14";"9";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3466";"Bodegraven-Reeuwijk";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"8";"5";"<5";"<5";"7";"8";"6";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3467";"Oudewater";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3511";"Utrecht";"03GD";"00";"De Lelie";"3465KE";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Reformatorisch";"41534";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2411";"Bodegraven-Reeuwijk";"04PE";"00";"CBS De Brug";"2415AJ";"NIEUWERBRUG AAN DEN RIJN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41286";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2415";"Bodegraven-Reeuwijk";"04PE";"00";"CBS De Brug";"2415AJ";"NIEUWERBRUG AAN DEN RIJN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41286";"0";"16";"20";"9";"11";"6";"11";"10";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3443";"Woerden";"04PE";"00";"CBS De Brug";"2415AJ";"NIEUWERBRUG AAN DEN RIJN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41286";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3465";"Bodegraven-Reeuwijk";"04PE";"00";"CBS De Brug";"2415AJ";"NIEUWERBRUG AAN DEN RIJN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41286";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2411";"Bodegraven-Reeuwijk";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2742";"Waddinxveen";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2743";"Waddinxveen";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2805";"Gouda";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2806";"Gouda";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2807";"Gouda";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2811";"Bodegraven-Reeuwijk";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"31";"20";"25";"23";"16";"27";"20";"22";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2821";"Krimpenerwaard";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2851";"Krimpenerwaard";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3417";"Montfoort";"04RQ";"00";"De Regenboog";"2811JK";"REEUWIJK";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2851";"Krimpenerwaard";"05QI";"00";"Basisschool De Wegwijzer";"3465TK";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3465";"Bodegraven-Reeuwijk";"05QI";"00";"Basisschool De Wegwijzer";"3465TK";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"12";"15";"8";"8";"12";"11";"20";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3466";"Bodegraven-Reeuwijk";"05QI";"00";"Basisschool De Wegwijzer";"3465TK";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"3467";"Oudewater";"05QI";"00";"Basisschool De Wegwijzer";"3465TK";"DRIEBRUGGEN";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2411";"Bodegraven-Reeuwijk";"06JG";"00";"De Bron";"2811LP";"REEUWIJK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2741";"Waddinxveen";"06JG";"00";"De Bron";"2811LP";"REEUWIJK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2742";"Waddinxveen";"06JG";"00";"De Bron";"2811LP";"REEUWIJK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2771";"Alphen aan den Rijn";"06JG";"00";"De Bron";"2811LP";"REEUWIJK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2805";"Gouda";"06JG";"00";"De Bron";"2811LP";"REEUWIJK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2811";"Bodegraven-Reeuwijk";"06JG";"00";"De Bron";"2811LP";"REEUWIJK";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40765";"0";"10";"12";"12";"17";"21";"13";"23";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2411";"Bodegraven-Reeuwijk";"07OH";"00";"Prins Willem-Alexander";"3466LP";"WAARDER";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1901";"Bodegraven-Reeuwijk";"2415";"Bodegraven-Reeuwijk";"07OH";"00";"Prins Willem-Alexander";"3466LP";"WAARDER";"Zuid-Holland";"Bo";"Protestants-Christelijk";"41194";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
