"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0755";"Boekel";"5402";"Maashorst";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5408";"Maashorst";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5422";"Gemert-Bakel";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5423";"Gemert-Bakel";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5425";"Gemert-Bakel";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5427";"Boekel";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"25";"25";"18";"28";"20";"15";"15";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5428";"Boekel";"10NY";"00";"KC De Regenboog";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5409";"Maashorst";"11PT";"00";"KC Octopus";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5421";"Gemert-Bakel";"11PT";"00";"KC Octopus";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0755";"Boekel";"5427";"Boekel";"11PT";"00";"KC Octopus";"5427AL";"BOEKEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"32580";"0";"33";"33";"39";"37";"36";"46";"38";"41";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
