"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0147";"Borne";"7544";"Enschede";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7601";"Almelo";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7606";"Almelo";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7621";"Borne";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7625";"Borne";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"5";"12";"5";"9";"10";"14";"7";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7627";"Almelo";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7665";"Tubbergen";"03RC";"00";"Basisschool St Stephanus";"7625PH";"ZENDEREN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7597";"Dinkelland";"06IN";"00";"Sint Aegidius-School";"7626LW";"HERTME";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7622";"Borne";"06IN";"00";"Sint Aegidius-School";"7626LW";"HERTME";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7623";"Borne";"06IN";"00";"Sint Aegidius-School";"7626LW";"HERTME";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7625";"Borne";"06IN";"00";"Sint Aegidius-School";"7626LW";"HERTME";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7626";"Borne";"06IN";"00";"Sint Aegidius-School";"7626LW";"HERTME";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"5";"7";"<5";"6";"5";"<5";"5";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7665";"Tubbergen";"06IN";"00";"Sint Aegidius-School";"7626LW";"HERTME";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7553";"Hengelo";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7557";"Hengelo";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7576";"Oldenzaal";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7621";"Borne";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7622";"Borne";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"8";"12";"5";"5";"12";"10";"11";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7623";"Borne";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"23";"29";"27";"29";"27";"32";"28";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7625";"Borne";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7626";"Borne";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7665";"Tubbergen";"08LL";"00";"Basisschool De Optimist";"7623DR";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7471";"Hof van Twente";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7491";"Hof van Twente";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7553";"Hengelo";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7621";"Borne";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"22";"17";"26";"15";"11";"11";"15";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7622";"Borne";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"16";"10";"9";"11";"8";"8";"11";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7623";"Borne";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7626";"Borne";"08VE";"00";"Jan Ligthartschool";"7621AZ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7602";"Almelo";"09KW";"00";"Basisschool 't Oldhof";"7621XJ";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7621";"Borne";"09KW";"00";"Basisschool 't Oldhof";"7621XJ";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"6";"10";"6";"5";"12";"8";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7622";"Borne";"09KW";"00";"Basisschool 't Oldhof";"7621XJ";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"<5";"6";"<5";"<5";"<5";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7623";"Borne";"09KW";"00";"Basisschool 't Oldhof";"7621XJ";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7625";"Borne";"09KW";"00";"Basisschool 't Oldhof";"7621XJ";"BORNE";"Overijssel";"Bo";"Rooms-Katholiek";"27910";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7551";"Hengelo";"09TI";"00";"Beekpark";"7623AJ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7556";"Hengelo";"09TI";"00";"Beekpark";"7623AJ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7559";"Hengelo";"09TI";"00";"Beekpark";"7623AJ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0147";"Borne";"7562";"Oldenzaal";"09TI";"00";"Beekpark";"7623AJ";"BORNE";"Overijssel";"Bo";"Algemeen bijzonder";"27910";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
