"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0654";"Borsele";"4436";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4438";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4451";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4453";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"18";"15";"9";"14";"13";"17";"17";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4454";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4455";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4456";"Borsele";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4458";"Goes";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4461";"Goes";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4508";"Sluis";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4541";"Terneuzen";"03TW";"00";"Basisschool Don Bosco";"4453AK";"'S-HEERENHOEK";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4433";"Borsele";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4434";"Borsele";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"<5";"7";"<5";"7";"8";"7";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4435";"Borsele";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4436";"Borsele";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4438";"Borsele";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4443";"Borsele";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4461";"Goes";"03YH";"00";"M G R Heyligersschool";"4434AE";"KWADENDAMME";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4301";"Schouwen-Duiveland";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4335";"Middelburg";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4385";"Vlissingen";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4443";"Borsele";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4455";"Borsele";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"6";"13";"<5";"13";"11";"11";"13";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4456";"Borsele";"04OT";"00";"Basisschool De Regenboog";"4455TL";"NIEUWDORP";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4438";"Borsele";"06ED";"00";"Basisschool De Wegwijzer";"4451AK";"HEINKENSZAND";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4441";"Borsele";"06ED";"00";"Basisschool De Wegwijzer";"4451AK";"HEINKENSZAND";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4451";"Borsele";"06ED";"00";"Basisschool De Wegwijzer";"4451AK";"HEINKENSZAND";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"11";"16";"10";"18";"10";"15";"12";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4456";"Borsele";"06ED";"00";"Basisschool De Wegwijzer";"4451AK";"HEINKENSZAND";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4484";"Noord-Beveland";"06ED";"00";"Basisschool De Wegwijzer";"4451AK";"HEINKENSZAND";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4339";"Middelburg";"06SK";"00";"De Leeuwerik";"4456AL";"LEWEDORP";"Zeeland";"Bo";"Samenwerking PC, RK";"77533";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4341";"Middelburg";"06SK";"00";"De Leeuwerik";"4456AL";"LEWEDORP";"Zeeland";"Bo";"Samenwerking PC, RK";"77533";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4456";"Borsele";"06SK";"00";"De Leeuwerik";"4456AL";"LEWEDORP";"Zeeland";"Bo";"Samenwerking PC, RK";"77533";"0";"14";"16";"16";"11";"11";"9";"8";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4458";"Goes";"06SK";"00";"De Leeuwerik";"4456AL";"LEWEDORP";"Zeeland";"Bo";"Samenwerking PC, RK";"77533";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4461";"Goes";"06SK";"00";"De Leeuwerik";"4456AL";"LEWEDORP";"Zeeland";"Bo";"Samenwerking PC, RK";"77533";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4464";"Goes";"06SK";"00";"De Leeuwerik";"4456AL";"LEWEDORP";"Zeeland";"Bo";"Samenwerking PC, RK";"77533";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"40";"Onbekend";"07EE";"00";"CBS De Rank";"4431EP";"'S-GRAVENPOLDER";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0654";"Borsele";"4382";"Vlissingen";"07EE";"00";"CBS De Rank";"4431EP";"'S-GRAVENPOLDER";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
