"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0758";"Breda";"4143";"Vijfheerenlanden";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4251";"Altena";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4273";"Altena";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4283";"Altena";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4284";"Altena";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4711";"Rucphen";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4714";"Rucphen";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4715";"Rucphen";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4761";"Moerdijk";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4762";"Moerdijk";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4765";"Moerdijk";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4791";"Moerdijk";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4811";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4812";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4813";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4814";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4815";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4816";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4817";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4822";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4823";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4824";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4826";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4827";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4834";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4841";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4844";"Drimmelen";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4847";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4854";"Breda";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4861";"Alphen-Chaam";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4871";"Etten-Leur";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4872";"Etten-Leur";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"<5";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0758";"Breda";"4873";"Etten-Leur";"01JO";"06";"De Spreekhoorn";"4812GE";"BREDA";"Noord-Brabant";"So";"Algemeen bijzonder";"41314";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
