"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1876";"Bronckhorst";"7231";"Zutphen";"03DK";"00";"obs De Dorpsschool";"7251BC";"VORDEN";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7233";"Bronckhorst";"03DK";"00";"obs De Dorpsschool";"7251BC";"VORDEN";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7241";"Lochem";"03DK";"00";"obs De Dorpsschool";"7251BC";"VORDEN";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7251";"Bronckhorst";"03DK";"00";"obs De Dorpsschool";"7251BC";"VORDEN";"Gelderland";"Bo";"Openbaar";"41371";"0";"9";"16";"16";"8";"17";"12";"12";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7255";"Bronckhorst";"03DK";"00";"obs De Dorpsschool";"7251BC";"VORDEN";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7256";"Bronckhorst";"03DK";"00";"obs De Dorpsschool";"7251BC";"VORDEN";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7007";"Doetinchem";"03RO";"00";"Het Loo";"7021XW";"ZELHEM";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7009";"Doetinchem";"03RO";"00";"Het Loo";"7021XW";"ZELHEM";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7021";"Bronckhorst";"03RO";"00";"Het Loo";"7021XW";"ZELHEM";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"15";"18";"16";"16";"14";"14";"13";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7061";"Oude IJsselstreek";"03RO";"00";"Het Loo";"7021XW";"ZELHEM";"Gelderland";"Bo";"Protestants-Christelijk";"41011";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"6999";"Bronckhorst";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7004";"Doetinchem";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7021";"Bronckhorst";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7025";"Bronckhorst";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7031";"Doetinchem";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7227";"Bronckhorst";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7255";"Bronckhorst";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7256";"Bronckhorst";"03TA";"00";"Sint Bernardus-School";"7256AP";"KEIJENBORG";"Gelderland";"Bo";"Rooms-Katholiek";"50844";"0";"16";"<5";"14";"5";"6";"8";"5";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7004";"Doetinchem";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7021";"Bronckhorst";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7025";"Bronckhorst";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"17";"8";"14";"15";"12";"11";"10";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7051";"Oude IJsselstreek";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7054";"Oude IJsselstreek";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7075";"Oude IJsselstreek";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7135";"Oost Gelre";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7261";"Berkelland";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7263";"Oost Gelre";"04NW";"00";"Dorpsschool Halle";"7025AG";"HALLE";"Gelderland";"Bo";"Algemeen bijzonder";"33957";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7207";"Zutphen";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7223";"Bronckhorst";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7231";"Zutphen";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7233";"Bronckhorst";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7234";"Bronckhorst";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7251";"Bronckhorst";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"17";"20";"22";"25";"21";"32";"18";"30";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7256";"Bronckhorst";"04TU";"00";"Basisschool De Hoge Voorde";"7251XX";"VORDEN";"Gelderland";"Bo";"Protestants-Christelijk";"42616";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"6828";"Arnhem";"04WC";"00";"IKC Succesbos";"7021HH";"ZELHEM";"Gelderland";"Bo";"Algemeen bijzonder";"41011";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7002";"Doetinchem";"04WC";"00";"IKC Succesbos";"7021HH";"ZELHEM";"Gelderland";"Bo";"Algemeen bijzonder";"41011";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7003";"Doetinchem";"04WC";"00";"IKC Succesbos";"7021HH";"ZELHEM";"Gelderland";"Bo";"Algemeen bijzonder";"41011";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7007";"Doetinchem";"04WC";"00";"IKC Succesbos";"7021HH";"ZELHEM";"Gelderland";"Bo";"Algemeen bijzonder";"41011";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1876";"Bronckhorst";"7021";"Bronckhorst";"04WC";"00";"IKC Succesbos";"7021HH";"ZELHEM";"Gelderland";"Bo";"Algemeen bijzonder";"41011";"0";"<5";"<5";"7";"<5";"<5";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
