"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0213";"Brummen";"6961";"Brummen";"03KS";"00";"RK Basissch C v Leeuwen";"6961XK";"EERBEEK";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"28";"30";"22";"20";"15";"23";"14";"21";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6964";"Brummen";"03KS";"00";"RK Basissch C v Leeuwen";"6961XK";"EERBEEK";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6971";"Brummen";"03KS";"00";"RK Basissch C v Leeuwen";"6961XK";"EERBEEK";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"7331";"Apeldoorn";"03KS";"00";"RK Basissch C v Leeuwen";"6961XK";"EERBEEK";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6951";"Rheden";"05NS";"00";"Basisschool De Triangel";"6961BE";"EERBEEK";"Gelderland";"Bo";"Protestants-Christelijk";"84046";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6961";"Brummen";"05NS";"00";"Basisschool De Triangel";"6961BE";"EERBEEK";"Gelderland";"Bo";"Protestants-Christelijk";"84046";"0";"26";"28";"23";"27";"29";"24";"27";"30";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6964";"Brummen";"05NS";"00";"Basisschool De Triangel";"6961BE";"EERBEEK";"Gelderland";"Bo";"Protestants-Christelijk";"84046";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"7207";"Zutphen";"05NS";"00";"Basisschool De Triangel";"6961BE";"EERBEEK";"Gelderland";"Bo";"Protestants-Christelijk";"84046";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"7333";"Apeldoorn";"05NS";"00";"Basisschool De Triangel";"6961BE";"EERBEEK";"Gelderland";"Bo";"Protestants-Christelijk";"84046";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"7371";"Apeldoorn";"05NS";"00";"Basisschool De Triangel";"6961BE";"EERBEEK";"Gelderland";"Bo";"Protestants-Christelijk";"84046";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6951";"Rheden";"06NE";"00";"Basisschool Pancratius";"6971BL";"BRUMMEN";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6961";"Brummen";"06NE";"00";"Basisschool Pancratius";"6971BL";"BRUMMEN";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6964";"Brummen";"06NE";"00";"Basisschool Pancratius";"6971BL";"BRUMMEN";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6971";"Brummen";"06NE";"00";"Basisschool Pancratius";"6971BL";"BRUMMEN";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"11";"14";"27";"20";"26";"20";"19";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0213";"Brummen";"6974";"Brummen";"06NE";"00";"Basisschool Pancratius";"6971BL";"BRUMMEN";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
