"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0899";"Brunssum";"40";"Onbekend";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6163";"Sittard-Geleen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6365";"Beekdaelen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6371";"Landgraaf";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6413";"Heerlen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6414";"Heerlen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6417";"Heerlen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6432";"Heerlen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6433";"Heerlen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6436";"Beekdaelen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6441";"Brunssum";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"15";"10";"18";"8";"20";"25";"13";"8";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6442";"Brunssum";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6443";"Brunssum";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6444";"Brunssum";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6446";"Brunssum";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6447";"Beekdaelen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"6451";"Beekdaelen";"03JL";"00";"Basisschool Titus Brandsma";"6441JJ";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0899";"Brunssum";"40";"Onbekend";"03MX";"00";"Basisschool de Caleidoscoop";"6444CL";"BRUNSSUM";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
