"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0312";"Bunnik";"3521";"Utrecht";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3564";"Utrecht";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3584";"Utrecht";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3703";"Zeist";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3704";"Zeist";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3981";"Bunnik";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"35";"39";"35";"44";"38";"46";"41";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3984";"Bunnik";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3985";"Bunnik";"05GF";"00";"Camminghaschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3706";"Zeist";"05GH";"00";"De Vonk Basisschool";"3984MA";"ODIJK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3708";"Zeist";"05GH";"00";"De Vonk Basisschool";"3984MA";"ODIJK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3972";"Utrechtse Heuvelrug";"05GH";"00";"De Vonk Basisschool";"3984MA";"ODIJK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3981";"Bunnik";"05GH";"00";"De Vonk Basisschool";"3984MA";"ODIJK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3984";"Bunnik";"05GH";"00";"De Vonk Basisschool";"3984MA";"ODIJK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"23";"16";"19";"23";"12";"8";"12";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3985";"Bunnik";"05GH";"00";"De Vonk Basisschool";"3984MA";"ODIJK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3945";"Wijk bij Duurstede";"06PE";"00";"Pastoor Dr Delteykschool";"3985LK";"WERKHOVEN";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3984";"Bunnik";"06PE";"00";"Pastoor Dr Delteykschool";"3985LK";"WERKHOVEN";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3985";"Bunnik";"06PE";"00";"Pastoor Dr Delteykschool";"3985LK";"WERKHOVEN";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"28";"27";"28";"24";"25";"25";"16";"22";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3524";"Utrecht";"07TZ";"00";"Barbaraschool";"3981BS";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3704";"Zeist";"07TZ";"00";"Barbaraschool";"3981BS";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3722";"De Bilt";"07TZ";"00";"Barbaraschool";"3981BS";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3981";"Bunnik";"07TZ";"00";"Barbaraschool";"3981BS";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"22";"16";"26";"17";"33";"22";"29";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3984";"Bunnik";"07TZ";"00";"Barbaraschool";"3981BS";"BUNNIK";"Utrecht";"Bo";"Rooms-Katholiek";"43318";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3521";"Utrecht";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3701";"Zeist";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3703";"Zeist";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3704";"Zeist";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3705";"Zeist";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3712";"Zeist";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3722";"De Bilt";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3732";"De Bilt";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3735";"Zeist";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3769";"Soest";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3945";"Wijk bij Duurstede";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3972";"Utrechtse Heuvelrug";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3981";"Bunnik";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"18";"23";"28";"20";"36";"35";"24";"26";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3984";"Bunnik";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"<5";"0";"0";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0312";"Bunnik";"3994";"Houten";"08GH";"00";"WereldKidz Anne Frankschool";"3981GD";"BUNNIK";"Utrecht";"Bo";"Openbaar";"41496";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
