"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0214";"Buren";"4011";"Buren";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4021";"Buren";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4023";"Buren";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4102";"Culemborg";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4112";"Buren";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4119";"Buren";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4194";"West Betuwe";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4197";"West Betuwe";"03HZ";"00";"Ds Derksenschool";"4119LX";"RAVENSWAAIJ";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"3961";"Wijk bij Duurstede";"04PX";"00";"Basisschool De Hoeksteen";"4021HH";"MAURIK";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0214";"Buren";"4005";"Tiel";"04PX";"00";"Basisschool De Hoeksteen";"4021HH";"MAURIK";"Gelderland";"Bo";"Protestants-Christelijk";"41424";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
