"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0383";"Castricum";"1825";"Alkmaar";"03XY";"00";"Kindcentrum Visser t Hooft";"1902KA";"CASTRICUM";"Noord-Holland";"Bo";"Algemeen bijzonder";"40712";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1901";"Castricum";"03XY";"00";"Kindcentrum Visser t Hooft";"1902KA";"CASTRICUM";"Noord-Holland";"Bo";"Algemeen bijzonder";"40712";"0";"<5";"<5";"<5";"7";"<5";"6";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1902";"Castricum";"03XY";"00";"Kindcentrum Visser t Hooft";"1902KA";"CASTRICUM";"Noord-Holland";"Bo";"Algemeen bijzonder";"40712";"0";"18";"25";"20";"19";"25";"23";"16";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1906";"Castricum";"03XY";"00";"Kindcentrum Visser t Hooft";"1902KA";"CASTRICUM";"Noord-Holland";"Bo";"Algemeen bijzonder";"40712";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1566";"Zaanstad";"04GB";"00";"Basisschool Rembrandt";"1921XC";"AKERSLOOT";"Noord-Holland";"Bo";"Openbaar";"41191";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1906";"Castricum";"04GB";"00";"Basisschool Rembrandt";"1921XC";"AKERSLOOT";"Noord-Holland";"Bo";"Openbaar";"41191";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1911";"Uitgeest";"04GB";"00";"Basisschool Rembrandt";"1921XC";"AKERSLOOT";"Noord-Holland";"Bo";"Openbaar";"41191";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1921";"Castricum";"04GB";"00";"Basisschool Rembrandt";"1921XC";"AKERSLOOT";"Noord-Holland";"Bo";"Openbaar";"41191";"0";"17";"15";"16";"21";"17";"19";"17";"23";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1962";"Heemskerk";"04GB";"00";"Basisschool Rembrandt";"1921XC";"AKERSLOOT";"Noord-Holland";"Bo";"Openbaar";"41191";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0383";"Castricum";"1816";"Alkmaar";"05FM";"00";"Basisschool De Brug";"1921CK";"AKERSLOOT";"Noord-Holland";"Bo";"Rooms-Katholiek";"73919";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
