"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0109";"Coevorden";"40";"Onbekend";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"6828";"Arnhem";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7741";"Coevorden";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7742";"Coevorden";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7841";"Coevorden";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7848";"Coevorden";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7854";"Coevorden";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"6";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7863";"Coevorden";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"9642";"Veendam";"03EJ";"00";"De Smeltkroes";"7852TJ";"WEZUP";"Drenthe";"Bo";"Openbaar";"41630";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7833";"Emmen";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7841";"Coevorden";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"11";"8";"7";"<5";"6";"<5";"6";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7843";"Coevorden";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7845";"Coevorden";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7846";"Coevorden";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7847";"Coevorden";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7856";"Coevorden";"03LC";"00";"Chr Basissch De Fontein";"7841AZ";"SLEEN";"Drenthe";"Bo";"Protestants-Christelijk";"41052";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0109";"Coevorden";"7741";"Coevorden";"04FH";"00";"Sint Theresiaschool";"7741PJ";"COEVORDEN";"Drenthe";"Bo";"Rooms-Katholiek";"40888";"0";"<5";"9";"7";"6";"5";"6";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
