"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1706";"Cranendonck";"5615";"Eindhoven";"03PJ";"00";"Basissch St Joan";"6027PL";"SOERENDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"6021";"Cranendonck";"03PJ";"00";"Basissch St Joan";"6027PL";"SOERENDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"6027";"Cranendonck";"03PJ";"00";"Basissch St Joan";"6027PL";"SOERENDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"22";"13";"14";"16";"17";"10";"15";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"6431";"Heerlen";"03PJ";"00";"Basissch St Joan";"6027PL";"SOERENDONK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"40";"Onbekend";"05GE";"00";"Basisschool And're wijze";"6023AM";"BUDEL-SCHOOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"6021";"Cranendonck";"05GE";"00";"Basisschool And're wijze";"6023AM";"BUDEL-SCHOOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"6023";"Cranendonck";"05GE";"00";"Basisschool And're wijze";"6023AM";"BUDEL-SCHOOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"7";"6";"5";"8";"8";"5";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"6024";"Cranendonck";"05GE";"00";"Basisschool And're wijze";"6023AM";"BUDEL-SCHOOT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"31384";"0";"7";"<5";"10";"<5";"<5";"5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"10";"Belgie";"08DZ";"00";"De Triolier";"6021KD";"BUDEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"40";"Onbekend";"08DZ";"00";"De Triolier";"6021KD";"BUDEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"<5";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1706";"Cranendonck";"5527";"Bladel";"08DZ";"00";"De Triolier";"6021KD";"BUDEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
