"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0216";"Culemborg";"1214";"Hilversum";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"2957";"Molenlanden";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3079";"Rotterdam";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3432";"Nieuwegein";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3523";"Utrecht";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3723";"De Bilt";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3991";"Houten";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3993";"Houten";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"Vso";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"3997";"Houten";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0216";"Culemborg";"4101";"Culemborg";"02RO";"02";"De Kom-Linawijs";"4101AL";"CULEMBORG";"Gelderland";"So";"Rooms-Katholiek";"41531";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
