"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1690";"De Wolden";"7958";"De Wolden";"05SX";"00";"PC Bs De Arendsvleugel";"7961AW";"RUINERWOLD";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7961";"De Wolden";"05SX";"00";"PC Bs De Arendsvleugel";"7961AW";"RUINERWOLD";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"6";"11";"11";"15";"12";"12";"12";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"9423";"Midden-Drenthe";"05SX";"00";"PC Bs De Arendsvleugel";"7961AW";"RUINERWOLD";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7906";"Hoogeveen";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7907";"Hoogeveen";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7913";"Hoogeveen";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7915";"Hoogeveen";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7921";"De Wolden";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7924";"De Wolden";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7926";"De Wolden";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"11";"5";"<5";"8";"5";"7";"6";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7927";"De Wolden";"06PS";"00";"Basisschool De Wegwijzer";"7927PJ";"ALTEVEER GEM DE WOLDEN";"Drenthe";"Bo";"Protestants-Christelijk";"60829";"0";"5";"14";"8";"6";"7";"<5";"9";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7957";"De Wolden";"08PR";"00";"Prins Johan Frisoschool";"7958SK";"KOEKANGE";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7958";"De Wolden";"08PR";"00";"Prins Johan Frisoschool";"7958SK";"KOEKANGE";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"8";"12";"13";"10";"12";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7961";"De Wolden";"08PR";"00";"Prins Johan Frisoschool";"7958SK";"KOEKANGE";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7963";"De Wolden";"08PR";"00";"Prins Johan Frisoschool";"7958SK";"KOEKANGE";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7901";"Hoogeveen";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7905";"Hoogeveen";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7908";"Hoogeveen";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7921";"De Wolden";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7924";"De Wolden";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7931";"Hoogeveen";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7932";"De Wolden";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"<5";"<5";"0";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7944";"Meppel";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7958";"De Wolden";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7963";"De Wolden";"09HG";"00";"KC 't Echtenest";"7932PM";"ECHTEN DR";"Drenthe";"Bo";"Openbaar";"41895";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7908";"Hoogeveen";"09NT";"00";"PC School De Heidevlinder";"7921EA";"ZUIDWOLDE DR";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7921";"De Wolden";"09NT";"00";"PC School De Heidevlinder";"7921EA";"ZUIDWOLDE DR";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"30";"37";"33";"28";"32";"31";"30";"30";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7924";"De Wolden";"09NT";"00";"PC School De Heidevlinder";"7921EA";"ZUIDWOLDE DR";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7925";"De Wolden";"09NT";"00";"PC School De Heidevlinder";"7921EA";"ZUIDWOLDE DR";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7926";"De Wolden";"09NT";"00";"PC School De Heidevlinder";"7921EA";"ZUIDWOLDE DR";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"8431";"Ooststellingwerf";"09NT";"00";"PC School De Heidevlinder";"7921EA";"ZUIDWOLDE DR";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7701";"Hardenberg";"10RY";"00";"KC De Klimtoren";"7705PD";"DROGTEROPSLAGEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7705";"De Wolden";"10RY";"00";"KC De Klimtoren";"7705PD";"DROGTEROPSLAGEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7776";"Hardenberg";"10RY";"00";"KC De Klimtoren";"7705PD";"DROGTEROPSLAGEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7782";"Hardenberg";"10RY";"00";"KC De Klimtoren";"7705PD";"DROGTEROPSLAGEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7925";"De Wolden";"10RY";"00";"KC De Klimtoren";"7705PD";"DROGTEROPSLAGEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"4205";"Gorinchem";"10UN";"00";"IKC 't Oelebröd";"7963BZ";"RUINEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7908";"Hoogeveen";"10UN";"00";"IKC 't Oelebröd";"7963BZ";"RUINEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7921";"De Wolden";"10UN";"00";"IKC 't Oelebröd";"7963BZ";"RUINEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7932";"De Wolden";"10UN";"00";"IKC 't Oelebröd";"7963BZ";"RUINEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1690";"De Wolden";"7933";"Hoogeveen";"10UN";"00";"IKC 't Oelebröd";"7963BZ";"RUINEN";"Drenthe";"Bo";"Openbaar";"41895";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
