"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0400";"Den Helder";"1759";"Schagen";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1761";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1764";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"<5";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1773";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1774";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1775";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1777";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1778";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1779";"Hollands Kroon";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1781";"Den Helder";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1782";"Den Helder";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"0";"0";"0";"<5";"<5";"0";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1783";"Den Helder";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0400";"Den Helder";"1784";"Den Helder";"00JY";"00";"SSBO Kompas";"1784MC";"DEN HELDER";"Noord-Holland";"Sbo";"Algemeen bijzonder";"30742";"0";"<5";"<5";"0";"<5";"<5";"<5";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
