"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0762";"Deurne";"4033";"Buren";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"4762";"Moerdijk";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5091";"Oirschot";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5281";"Boxtel";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5402";"Maashorst";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5406";"Maashorst";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5421";"Gemert-Bakel";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5424";"Gemert-Bakel";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5425";"Gemert-Bakel";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5481";"Meierijstad";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5491";"Meierijstad";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5554";"Valkenswaard";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5582";"Waalre";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5624";"Eindhoven";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5627";"Eindhoven";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5629";"Eindhoven";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0762";"Deurne";"5642";"Eindhoven";"03TV";"04";"De Korenaer Deurne";"5753RR";"DEURNE";"Noord-Brabant";"Vso";"Rooms-Katholiek";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
