"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0384";"Diemen";"1019";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1025";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1067";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1097";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1102";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1103";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1104";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1107";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1108";"Amsterdam";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1111";"Diemen";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"22";"22";"17";"13";"28";"19";"16";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1112";"Diemen";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"<5";"<5";"7";"<5";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1113";"Diemen";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1115";"Ouder-Amstel";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1433";"Aalsmeer";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"40";"Onbekend";"03LA";"00";"St. Petrusschool";"1111HL";"DIEMEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1015";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1095";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1102";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1103";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1104";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1109";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1111";"Diemen";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"19";"24";"26";"22";"16";"22";"27";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1112";"Diemen";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"18";"14";"14";"18";"17";"17";"14";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1113";"Diemen";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1115";"Ouder-Amstel";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1191";"Ouder-Amstel";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1349";"Almere";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1363";"Almere";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1384";"Amsterdam";"04FD";"00";"Jenaplansch De Nw Kring";"1111GH";"DIEMEN";"Noord-Holland";"Bo";"Algemeen bijzonder";"81316";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1062";"Amsterdam";"06PH";"00";"Oec Basisschool De Ark";"1112DM";"DIEMEN";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41595";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1065";"Amsterdam";"06PH";"00";"Oec Basisschool De Ark";"1112DM";"DIEMEN";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41595";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1067";"Amsterdam";"06PH";"00";"Oec Basisschool De Ark";"1112DM";"DIEMEN";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41595";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0384";"Diemen";"1074";"Amsterdam";"06PH";"00";"Oec Basisschool De Ark";"1112DM";"DIEMEN";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41595";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
