"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1774";"Dinkelland";"20";"Duitsland";"03BS";"00";"OBS Dr M L Kingschool";"7591XJ";"DENEKAMP";"Overijssel";"Bo";"Openbaar";"41565";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"40";"Onbekend";"03BS";"00";"OBS Dr M L Kingschool";"7591XJ";"DENEKAMP";"Overijssel";"Bo";"Openbaar";"41565";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7588";"Losser";"03BS";"00";"OBS Dr M L Kingschool";"7591XJ";"DENEKAMP";"Overijssel";"Bo";"Openbaar";"41565";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7591";"Dinkelland";"03BS";"00";"OBS Dr M L Kingschool";"7591XJ";"DENEKAMP";"Overijssel";"Bo";"Openbaar";"41565";"0";"31";"20";"29";"23";"27";"24";"24";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7631";"Dinkelland";"03BS";"00";"OBS Dr M L Kingschool";"7591XJ";"DENEKAMP";"Overijssel";"Bo";"Openbaar";"41565";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7635";"Dinkelland";"03BS";"00";"OBS Dr M L Kingschool";"7591XJ";"DENEKAMP";"Overijssel";"Bo";"Openbaar";"41565";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"40";"Onbekend";"03SC";"00";"Willibrord";"7591NX";"DENEKAMP";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7591";"Dinkelland";"03SC";"00";"Willibrord";"7591NX";"DENEKAMP";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"5";"12";"<5";"10";"5";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7559";"Hengelo";"04EV";"00";"Bernardus-School";"7597LS";"SAASVELD";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7561";"Dinkelland";"04EV";"00";"Bernardus-School";"7597LS";"SAASVELD";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7595";"Dinkelland";"04EV";"00";"Bernardus-School";"7597LS";"SAASVELD";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7597";"Dinkelland";"04EV";"00";"Bernardus-School";"7597LS";"SAASVELD";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"24";"17";"20";"17";"19";"14";"14";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7622";"Borne";"04EV";"00";"Bernardus-School";"7597LS";"SAASVELD";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7651";"Tubbergen";"04EV";"00";"Bernardus-School";"7597LS";"SAASVELD";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1774";"Dinkelland";"7588";"Losser";"05EP";"00";"De Kerkewei";"7596KN";"ROSSUM OV";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
