"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0221";"Doesburg";"6951";"Rheden";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6981";"Doesburg";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"14";"5";"10";"19";"8";"10";"14";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6982";"Doesburg";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"<5";"<5";"<5";"<5";"6";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6983";"Doesburg";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"<5";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6984";"Doesburg";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6986";"Zevenaar";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6996";"Bronckhorst";"18LJ";"00";"Basisschool De Horizon";"6981DD";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6942";"Montferland";"18MY";"00";"OBS De Wetelaar";"6983CG";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6981";"Doesburg";"18MY";"00";"OBS De Wetelaar";"6983CG";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0221";"Doesburg";"6982";"Doesburg";"18MY";"00";"OBS De Wetelaar";"6983CG";"DOESBURG";"Gelderland";"Bo";"Openbaar";"41371";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
