"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0766";"Dongen";"4921";"Drimmelen";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5102";"Dongen";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5103";"Dongen";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5106";"Dongen";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"8";"10";"14";"8";"11";"8";"13";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5109";"Dongen";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5161";"Waalwijk";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5171";"Loon op Zand";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5176";"Loon op Zand";"03PK";"00";"Basissch Sint Agnes";"5106NE";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5101";"Dongen";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5102";"Dongen";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5103";"Dongen";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5104";"Dongen";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5106";"Dongen";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5109";"Dongen";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"8";"<5";"5";"11";"5";"<5";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5161";"Waalwijk";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5165";"Waalwijk";"04GF";"00";"OBS De Springplank";"5109TG";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Openbaar";"41435";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4271";"Altena";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4904";"Oosterhout";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5035";"Tilburg";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5047";"Tilburg";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5101";"Dongen";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5102";"Dongen";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5103";"Dongen";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5104";"Dongen";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"20";"20";"18";"19";"10";"10";"9";"12";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5105";"Dongen";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"8937";"Leeuwarden";"05GM";"00";"RK Basisschool Sint Jan";"5104CL";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4931";"Geertruidenberg";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5101";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5102";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5103";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"18";"15";"23";"13";"17";"14";"12";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5104";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"12";"16";"13";"16";"14";"12";"12";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5105";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5107";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5109";"Dongen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5121";"Gilze en Rijen";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5176";"Loon op Zand";"05GP";"00";"RK Basissch Achterberg";"5104EG";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4909";"Oosterhout";"05OM";"00";"PC Basissch De Wegwijzer";"5109TD";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5101";"Dongen";"05OM";"00";"PC Basissch De Wegwijzer";"5109TD";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5102";"Dongen";"05OM";"00";"PC Basissch De Wegwijzer";"5109TD";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5103";"Dongen";"05OM";"00";"PC Basissch De Wegwijzer";"5109TD";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5104";"Dongen";"05OM";"00";"PC Basissch De Wegwijzer";"5109TD";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5109";"Dongen";"05OM";"00";"PC Basissch De Wegwijzer";"5109TD";"'S GRAVENMOER";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41001";"0";"10";"9";"13";"5";"15";"12";"12";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"3371";"Hardinxveld-Giessendam";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4872";"Etten-Leur";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4907";"Oosterhout";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4909";"Oosterhout";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"4941";"Geertruidenberg";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5011";"Tilburg";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5044";"Tilburg";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0766";"Dongen";"5101";"Dongen";"07UD";"00";"Basissch De Vlinderboom";"5102XS";"DONGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"6";"10";"5";"<5";"5";"6";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
