"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0505";"Dordrecht";"2941";"Krimpenerwaard";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2951";"Alblasserdam";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2952";"Alblasserdam";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2953";"Alblasserdam";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2957";"Molenlanden";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2957";"Molenlanden";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"Vso";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2964";"Molenlanden";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2982";"Ridderkerk";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2984";"Ridderkerk";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0505";"Dordrecht";"2986";"Ridderkerk";"00KK";"00";"Mytylschool  Kiem";"3318AA";"DORDRECHT";"Zuid-Holland";"So";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
