"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0498";"Drechterland";"1616";"Drechterland";"05EV";"00";"Basisschool De Westwijzer";"1617KD";"WESTWOUD";"Noord-Holland";"Bo";"Rooms-Katholiek";"42755";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1617";"Drechterland";"05EV";"00";"Basisschool De Westwijzer";"1617KD";"WESTWOUD";"Noord-Holland";"Bo";"Rooms-Katholiek";"42755";"0";"17";"16";"7";"26";"13";"17";"15";"10";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1689";"Hoorn";"05EV";"00";"Basisschool De Westwijzer";"1617KD";"WESTWOUD";"Noord-Holland";"Bo";"Rooms-Katholiek";"42755";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1696";"Drechterland";"05EV";"00";"Basisschool De Westwijzer";"1617KD";"WESTWOUD";"Noord-Holland";"Bo";"Rooms-Katholiek";"42755";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1106";"Amsterdam";"05JU";"00";"Jozefschool";"1606BP";"VENHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1606";"Drechterland";"05JU";"00";"Jozefschool";"1606BP";"VENHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"17";"18";"16";"26";"30";"21";"21";"25";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1607";"Drechterland";"05JU";"00";"Jozefschool";"1606BP";"VENHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"16";"12";"10";"12";"13";"16";"13";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1613";"Stede Broec";"05JU";"00";"Jozefschool";"1606BP";"VENHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1616";"Drechterland";"05JU";"00";"Jozefschool";"1606BP";"VENHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1034";"Amsterdam";"07AV";"00";"Basisschool Pancratius";"1696CD";"OOSTERBLOKKER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1611";"Stede Broec";"07AV";"00";"Basisschool Pancratius";"1696CD";"OOSTERBLOKKER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1616";"Drechterland";"07AV";"00";"Basisschool Pancratius";"1696CD";"OOSTERBLOKKER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0498";"Drechterland";"1617";"Drechterland";"07AV";"00";"Basisschool Pancratius";"1696CD";"OOSTERBLOKKER";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
