"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1719";"Drimmelen";"4758";"Moerdijk";"03QT";"00";"Basisschool De Schittering";"4927BB";"HOOGE ZWALUWE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41782";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4921";"Drimmelen";"03QT";"00";"Basisschool De Schittering";"4927BB";"HOOGE ZWALUWE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41782";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4924";"Drimmelen";"03QT";"00";"Basisschool De Schittering";"4927BB";"HOOGE ZWALUWE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41782";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4926";"Drimmelen";"03QT";"00";"Basisschool De Schittering";"4927BB";"HOOGE ZWALUWE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41782";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4927";"Drimmelen";"03QT";"00";"Basisschool De Schittering";"4927BB";"HOOGE ZWALUWE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"41782";"0";"8";"8";"14";"12";"12";"14";"14";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4273";"Altena";"03VX";"00";"Bs De Elsenhof";"4845EB";"WAGENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43967";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4845";"Drimmelen";"03VX";"00";"Bs De Elsenhof";"4845EB";"WAGENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43967";"0";"18";"22";"14";"17";"19";"23";"20";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4911";"Oosterhout";"03VX";"00";"Bs De Elsenhof";"4845EB";"WAGENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43967";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4921";"Drimmelen";"03VX";"00";"Bs De Elsenhof";"4845EB";"WAGENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43967";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1719";"Drimmelen";"4926";"Drimmelen";"03VX";"00";"Bs De Elsenhof";"4845EB";"WAGENBERG";"Noord-Brabant";"Bo";"Rooms-Katholiek";"43967";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
