"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0303";"Dronten";"1701";"Dijk en Waard";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"3755";"Eemnes";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8071";"Nunspeet";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8224";"Lelystad";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8231";"Lelystad";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8232";"Lelystad";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8244";"Lelystad";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8251";"Dronten";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"<5";"6";"<5";"<5";"<5";"5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8252";"Dronten";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0303";"Dronten";"8253";"Dronten";"01AC";"00";"SSBO De Driemaster";"8251GP";"DRONTEN";"Flevoland";"Sbo";"Algemeen bijzonder";"61778";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
