"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0226";"Duiven";"6901";"Zevenaar";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6909";"Zevenaar";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6921";"Duiven";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6922";"Duiven";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6923";"Duiven";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"7";"14";"18";"7";"12";"8";"20";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6932";"Westervoort";"04ZG";"00";"IKC Joannes";"6923BZ";"GROESSEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6882";"Rheden";"06KE";"00";"IKC Remigius";"6921BX";"DUIVEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6901";"Zevenaar";"06KE";"00";"IKC Remigius";"6921BX";"DUIVEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6903";"Zevenaar";"06KE";"00";"IKC Remigius";"6921BX";"DUIVEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0226";"Duiven";"6904";"Zevenaar";"06KE";"00";"IKC Remigius";"6921BX";"DUIVEN";"Gelderland";"Bo";"Rooms-Katholiek";"42148";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
