"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1711";"Echt-Susteren";"20";"Duitsland";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6045";"Roermond";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6049";"Roermond";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6051";"Maasgouw";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6061";"Roerdalen";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6065";"Roerdalen";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6067";"Maasgouw";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6101";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"<5";"<5";"<5";"7";"6";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6102";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6104";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6105";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6107";"Maasgouw";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6109";"Maasgouw";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6111";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6114";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6116";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6118";"Echt-Susteren";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6123";"Sittard-Geleen";"01GE";"00";"SSBO De Horst";"6101NM";"ECHT";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"40";"Onbekend";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6051";"Maasgouw";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6065";"Roerdalen";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6101";"Echt-Susteren";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"28";"28";"22";"25";"22";"30";"21";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6102";"Echt-Susteren";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"<5";"5";"<5";"<5";"<5";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6105";"Echt-Susteren";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6112";"Echt-Susteren";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6114";"Echt-Susteren";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6116";"Echt-Susteren";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6121";"Sittard-Geleen";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"7331";"Apeldoorn";"03RS";"00";"Basisschool de Violier";"6101HH";"ECHT";"Limburg";"Bo";"Rooms-Katholiek";"41797";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"20";"Duitsland";"04ZI";"00";"Basissch Keuningshofke";"6104BR";"KONINGSBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"40";"Onbekend";"04ZI";"00";"Basissch Keuningshofke";"6104BR";"KONINGSBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"<5";"<5";"<5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6051";"Maasgouw";"04ZI";"00";"Basissch Keuningshofke";"6104BR";"KONINGSBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6104";"Echt-Susteren";"04ZI";"00";"Basissch Keuningshofke";"6104BR";"KONINGSBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"14";"16";"8";"12";"10";"14";"9";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"6105";"Echt-Susteren";"04ZI";"00";"Basissch Keuningshofke";"6104BR";"KONINGSBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1711";"Echt-Susteren";"40";"Onbekend";"06CQ";"00";"Basisschool De Driepas";"6101MJ";"ECHT";"Limburg";"Bo";"Openbaar";"83280";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
