"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0385";"Edam-Volendam";"1053";"Amsterdam";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1131";"Edam-Volendam";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1132";"Edam-Volendam";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"<5";"<5";"5";"6";"6";"5";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1135";"Edam-Volendam";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1141";"Waterland";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"0";"<5";"<5";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1145";"Waterland";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1151";"Waterland";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1156";"Waterland";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1447";"Purmerend";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0385";"Edam-Volendam";"1462";"Purmerend";"02RQ";"00";"RK SSBO De Aventurijn";"1132XS";"VOLENDAM";"Noord-Holland";"Sbo";"Rooms-Katholiek";"72853";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
