"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1979";"Eemsdelta";"9611";"Midden-Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9628";"Midden-Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9629";"Midden-Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9636";"Midden-Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9645";"Veendam";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9674";"Oldambt";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9713";"Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9723";"Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9741";"Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1979";"Eemsdelta";"9791";"Groningen";"02YR";"05";"Prof W J Bladergroenschool";"9903ES";"APPINGEDAM";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
