"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1903";"Eijsden-Margraten";"6267";"Eijsden-Margraten";"02KX";"03";"St. Jozef GJI";"6267NL";"CADIER EN KEER";"Limburg";"So";"Rooms-Katholiek";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6267";"Eijsden-Margraten";"02KX";"03";"St. Jozef GJI";"6267NL";"CADIER EN KEER";"Limburg";"Vso";"Rooms-Katholiek";"41821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"5";"9";"8";"15";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6214";"Maastricht";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6255";"Eijsden-Margraten";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"9";"11";"<5";"6";"7";"6";"6";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6261";"Eijsden-Margraten";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"6";"6";"7";"<5";"8";"<5";"5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6262";"Eijsden-Margraten";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"8";"11";"8";"8";"9";"6";"9";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6265";"Eijsden-Margraten";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6269";"Eijsden-Margraten";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6274";"Gulpen-Wittem";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1903";"Eijsden-Margraten";"6277";"Gulpen-Wittem";"03JX";"00";"Katholieke basisschool de Den";"6261NX";"MHEER";"Limburg";"Bo";"Rooms-Katholiek";"42669";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
