"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0772";"Eindhoven";"40";"Onbekend";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5501";"Veldhoven";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5502";"Veldhoven";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5503";"Veldhoven";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5504";"Veldhoven";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5505";"Veldhoven";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5508";"Veldhoven";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5552";"Valkenswaard";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5554";"Valkenswaard";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0772";"Eindhoven";"5555";"Valkenswaard";"01WU";"00";"Vrije Sch De Regenboog";"5643CJ";"EINDHOVEN";"Noord-Brabant";"Bo";"Antroposofisch";"30027";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
