"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0230";"Elburg";"8082";"Elburg";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8084";"Elburg";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"9";"7";"12";"7";"10";"14";"12";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8085";"Elburg";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8095";"Oldebroek";"00DY";"00";"Basisschool het Sterrenlicht";"8084GK";"'T HARDE";"Gelderland";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"3842";"Harderwijk";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"3849";"Harderwijk";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"3853";"Ermelo";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"3881";"Putten";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"7315";"Apeldoorn";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"7321";"Apeldoorn";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8042";"Zwolle";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8043";"Zwolle";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8051";"Hattem";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8081";"Elburg";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"9";"10";"12";"12";"8";"17";"12";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8082";"Elburg";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8084";"Elburg";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8085";"Elburg";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8091";"Oldebroek";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8095";"Oldebroek";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8096";"Oldebroek";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8097";"Oldebroek";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8171";"Epe";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8181";"Heerde";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8191";"Heerde";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8251";"Dronten";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8253";"Dronten";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8255";"Dronten";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8256";"Dronten";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0230";"Elburg";"8261";"Kampen";"00DZ";"00";"Agnietenschool";"8081NB";"ELBURG";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
