"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0388";"Enkhuizen";"1601";"Enkhuizen";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1602";"Enkhuizen";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"29";"19";"15";"17";"32";"23";"20";"27";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1607";"Drechterland";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1613";"Stede Broec";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1619";"Medemblik";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1693";"Medemblik";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"8303";"Noordoostpolder";"04YU";"00";"RK Basissch De Hoeksteen";"1602RW";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1601";"Enkhuizen";"07QF";"00";"Basisschool Pancratius";"1601GL";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"41";"28";"31";"32";"31";"38";"17";"23";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1602";"Enkhuizen";"07QF";"00";"Basisschool Pancratius";"1601GL";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"6";"5";"5";"<5";"5";"5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0388";"Enkhuizen";"1606";"Drechterland";"07QF";"00";"Basisschool Pancratius";"1601GL";"ENKHUIZEN";"Noord-Holland";"Bo";"Rooms-Katholiek";"75375";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
