"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0233";"Ermelo";"3841";"Harderwijk";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3843";"Harderwijk";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"<5";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3845";"Harderwijk";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3851";"Ermelo";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"11";"14";"14";"10";"12";"15";"9";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3852";"Ermelo";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3853";"Ermelo";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"<5";"9";"8";"7";"<5";"5";"7";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3861";"Nijkerk";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3863";"Nijkerk";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3881";"Putten";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"<5";"<5";"<5";"<5";"5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0233";"Ermelo";"3882";"Putten";"00HA";"00";"Ref Basissch Augustinus";"3851BH";"ERMELO";"Gelderland";"Bo";"Reformatorisch";"30128";"0";"7";"<5";"12";"7";"7";"7";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
